x,y,filename,cluster
0.40152594,108.19536,../data/output/patches/boulder_co/3029705_m_4010562_se_13_060_20190919_1445.png,3
0.6196791,29.992825,../data/output/patches/boulder_co/3029705_m_4010562_se_13_060_20190919_1445.png,18
0.6435877,-1.0632995,../data/output/patches/huntsville_al/3114252_m_3408621_ne_16_030_20211023_1901.png,15
0.3567982,-43.91149,../data/output/patches/huntsville_al/3114252_m_3408621_ne_16_030_20211023_1901.png,0
0.31754485,-34.495907,../data/output/patches/huntsville_al/3114252_m_3408621_ne_16_030_20211023_1901.png,0
0.13930066,-55.06843,../data/output/patches/huntsville_al/3114252_m_3408621_ne_16_030_20211023_1901.png,6
0.39827955,6.367088,../data/output/patches/lexington_ky/2968093_m_3708405_nw_16_060_20200531_1284.png,19
0.18205893,65.954056,../data/output/patches/lexington_ky/2968093_m_3708405_nw_16_060_20200531_1284.png,14
0.24770218,28.369463,../data/output/patches/lexington_ky/2968093_m_3708405_nw_16_060_20200531_1284.png,10
0.48595273,13.077264,../data/output/patches/lexington_ky/2968093_m_3708405_nw_16_060_20200531_1284.png,19
0.32325333,-5.087479,../data/output/patches/memphis_tn/3109532_m_3509055_se_15_060_20211119_1955.png,19
0.34416887,107.50124,../data/output/patches/memphis_tn/3109532_m_3509055_se_15_060_20211119_1955.png,3
0.1844629,68.52315,../data/output/patches/memphis_tn/3109532_m_3509055_se_15_060_20211119_1955.png,14
0.40001577,-108.23687,../data/output/patches/memphis_tn/3109532_m_3509055_se_15_060_20211119_1955.png,0
0.66720766,79.87884,../data/output/patches/indianapolis_in/2950397_m_3908614_nw_16_060_20200612_990.png,5
0.60290694,70.121124,../data/output/patches/indianapolis_in/2950397_m_3908614_nw_16_060_20200612_990.png,5
0.45792368,27.560497,../data/output/patches/indianapolis_in/2950397_m_3908614_nw_16_060_20200612_990.png,18
0.44342294,89.3394,../data/output/patches/indianapolis_in/2950397_m_3908614_nw_16_060_20200612_990.png,3
0.74580204,-49.042,../data/output/patches/little_rock_ar/3108731_m_3409222_sw_15_060_20211115_2357.png,1
0.7385739,-87.6201,../data/output/patches/little_rock_ar/3108731_m_3409222_sw_15_060_20211115_2357.png,1
0.74413097,79.57858,../data/output/patches/little_rock_ar/3108731_m_3409222_sw_15_060_20211115_2357.png,5
0.61285985,-20.387514,../data/output/patches/little_rock_ar/3108731_m_3409222_sw_15_060_20211115_2357.png,15
0.41090447,-12.770725,../data/output/patches/columbus_oh/3068731_m_4008258_se_17_060_20210927_1987.png,19
0.4480159,84.827705,../data/output/patches/columbus_oh/3068731_m_4008258_se_17_060_20210927_1987.png,3
0.3503798,-105.91859,../data/output/patches/columbus_oh/3068731_m_4008258_se_17_060_20210927_1987.png,0
0.34518445,-46.26797,../data/output/patches/columbus_oh/3068731_m_4008258_se_17_060_20210927_1987.png,0
